Title,Abstract
Royal Tunbridge Wells,"Royal Tunbridge Wells, previously just Tunbridge Wells, is a town in western Kent, England, 30 miles (48 km) south-east of central London, close to the border with East Sussex upon the northern edge of the High Weald, whose sandstone geology is exemplified by the rock formations at the Wellington Rocks and High Rocks. 
The town came into being as a spa in the Restoration and enjoyed its heyday as a fashionable resort in the mid-1700s under Beau Nash when the Pantiles, and its chalybeate spring,[2] attracted significant numbers of visitors who wished to take the waters. Though its popularity as a spa town waned with the advent of sea bathing, the town remains highly popular and derives some 30 per cent of its income from the tourist industry.[3]
The town has a population of around 56,500,[4] and is the administrative centre of Tunbridge Wells Borough and the parliamentary constituency of Tunbridge Wells.
"
LSBF Group,"The LSBF Group is a UK-based group of private for-profit educational institutions whose ""hub"" institution is the London School of Business and Finance (LSBF).[1]  The group also includes the London College of Contemporary Arts (LCCA) and the LSBF School of English (later rebranded as The Language Gallery). They are all owned by Global University Systems (GUS).
"
Royal National Lifeboat Institution,"The Royal National Lifeboat Institution (RNLI) is the largest charity that saves lives at sea around the coasts of the United Kingdom, the Republic of Ireland, the Channel Islands, and the Isle of Man, as well as on some inland waterways. There are numerous other lifeboat services operating in the same area.
Founded in 1824 as the National Institution for the Preservation of Life from Shipwreck, the RNLI was granted a Royal Charter in 1860. It is a charity in the UK and in the Republic of Ireland. Queen Elizabeth II is Patron. The RNLI is principally funded by legacies and donations, and most of the members of its lifeboat crews are unpaid volunteers.
The RNLI, whose main base is in Poole, Dorset, has 238 lifeboat stations and operates 444 lifeboats. Crews rescued on average 22 people a day in 2015. RNLI Lifeguards operate on more than 200 beaches. They are paid by local authorities, while the RNLI provides equipment and training. The Institution also operates Flood Rescue Teams (FRT) nationally and internationally (iFRT), the latter prepared to travel to emergencies overseas at short notice.
Considerable effort is put into training and education by the Institution, particularly for young people; more than 6,000 children a week are spoken to by education volunteers about sea and beach safety, and over 800 children a week receive training. The Institution has saved some 140,000 lives since its foundation, at a cost of more than 600 lives lost in service.
"
List of television shows set in London,"This is a list of television shows set in London.
"
St John's Wood,"St John's Wood is a district in the City of Westminster, west London, lying about 2.5 miles (4 km) northwest of Charing Cross. Traditionally the northern part of the ancient parish and Metropolitan Borough of Marylebone, it extends east to west from Regent’s Park to the Edgware Road, with the Swiss Cottage area of Hampstead lying to the north.[1][2]
The area is best known for Lord's Cricket Ground, home of Marylebone Cricket Club, Middlesex CCC, and a regular international Test Cricket venue. It also includes the Abbey Road Studios, well known through its association with the Beatles.
"
"Natural History Museum, London","The Natural History Museum in London is a natural history museum that exhibits a vast range of specimens from various segments of natural history. It is one of three major museums on Exhibition Road in South Kensington, the others being the Science Museum and the Victoria and Albert Museum. The Natural History Museum's main frontage, however, is on Cromwell Road.
The museum is home to life and earth science specimens comprising some 80 million items within five main collections: botany, entomology, mineralogy, palaeontology and zoology. The museum is a centre of research specialising in taxonomy, identification and conservation. Given the age of the institution, many of the collections have great historical as well as scientific value, such as specimens collected by Charles Darwin. The museum is particularly famous for its exhibition of dinosaur skeletons and ornate architecture—sometimes dubbed a cathedral of nature—both exemplified by the large Diplodocus cast that dominated the vaulted central hall before it was replaced in 2017 with the skeleton of a blue whale hanging from the ceiling. The Natural History Museum Library contains extensive books, journals, manuscripts, and artwork collections linked to the work and research of the scientific departments; access to the library is by appointment only. The museum is recognised as the pre-eminent centre of natural history and research of related fields in the world.
Although commonly referred to as the Natural History Museum, it was officially known as British Museum (Natural History) until 1992, despite legal separation from the British Museum itself in 1963. Originating from collections within the British Museum, the landmark Alfred Waterhouse building was built and opened by 1881 and later incorporated the Geological Museum. The Darwin Centre is a more recent addition, partly designed as a modern facility for storing the valuable collections.
Like other publicly funded national museums in the United Kingdom, the Natural History Museum does not charge an admission fee. (It did but was scrapped in 2001) [2]
The museum is an exempt charity and a non-departmental public body sponsored by the Department for Digital, Culture, Media and Sport.[3] Catherine, Duchess of Cambridge, is a patron of the museum.[4] There are approximately 850 staff at the museum. The two largest strategic groups are the Public Engagement Group and Science Group.[5]
"
"Holloway, London","Holloway is an inner-city district of the London Borough of Islington, 3.3 miles (5.3 km) north of Charing Cross, which follows the line of the Holloway Road (A1). At the centre of Holloway is the Nag's Head commercial area which sits between the more residential Upper Holloway and Lower Holloway neighbourhoods. Holloway has a multicultural population. It is the home of Arsenal F.C. It was home to the largest women's prison in Europe, Holloway Prison, until 2016. Holloway is in the historic county of Middlesex.
"
London station group,"The London station group is a group of 18 railway stations served by the National Rail network in central London. Most are terminal stations, either serving major national services or local commuter routes. A small number are through-stations that are considered terminals for ticketing purposes. All current stations in the group fall within London fare zone 1. A ticket marked ""London Terminals"" allows travel to any station in the group via any permitted route, as determined by the National Routeing Guide.
Most London terminal stations were developed in the mid-19th century during the initial boom of rail transport. Many stations were built around the edge of central London, stopping at what is now the London Inner Ring Road, because it was prohibitively expensive to build right into the centre, and because each railway was owned by a private company competing with the others. The creation of the London Underground provided a practical connection to the various terminals, which continues to be the case as of the 21st century. Many of the stations have been upgraded and modernised to provide a greater capacity and connections to the network; the first London terminal, London Bridge has been rebuilt and expanded on numerous occasions, and of the major 19th century terminals, only Broad Street has closed.
The London terminals had a significant impact on the local area. Originally, the demolition of poor properties, particularly south of the River Thames, caused blight and deprived areas around the station. This has changed in the 21st century, where development around the main terminals has been well-received and attracted occupants and businesses.
"
London Borough of Haringey,"The London Borough of Haringey (pronounced /ˈhærɪŋɡeɪ/ (listen) HARR-ing-gay, same as Harringay)[2]
is a London borough in North London, classified by some definitions as part of Inner London, and by others as part of Outer London. It was created in 1965 by the amalgamation of three former boroughs. It shares borders with six other London boroughs. Clockwise from the north, they are: Enfield, Waltham Forest, Hackney, Islington, Camden, and Barnet.
Haringey covers an area of more than 11 square miles (28.5 km2).[3] Some of the more familiar local landmarks include Alexandra Palace, Bruce Castle, Jacksons Lane, Highpoint I and II, and Tottenham Hotspur Football Club. The borough has extreme contrasts:[4] areas in the west, such as Highgate, Muswell Hill and Crouch End are among the most prosperous in the country; in the east of the borough, some wards are classified as being among the most deprived 10% in the country.[5] Haringey is also a borough of contrasts geographically. From the wooded high ground around Highgate and Muswell Hill, at 426.5 feet (130.0 m), the land falls sharply away to the flat, open low-lying land beside the River Lea in the east. The borough includes large areas of green space, which make up more than 25% of its total area.[5]
"
Swanley,"Swanley is a town and civil parish in the Sevenoaks District of Kent, England. It is located approximately 15 miles (24 km) southeast of central London, adjacent to the Greater London boundary and within the M25 motorway periphery. The population at the 2011 census was 16,226.[1] The local council is Swanley Town Council.
"
Chigwell,"Chigwell is a town and civil parish in the Epping Forest district of Essex, England. Adjacent to the northern boundary of Greater London, it is part of the metropolitan area of London and the Greater London Built-up Area. It is on the Central line of the London Underground.
With Loughton and Buckhurst Hill, Chigwell is said to form part of the Essex golden triangle of wealthy places.[3][4]
"
Muslims,"Muslims are people who follow or practice Islam, a monotheistic Abrahamic religion. Muslims consider the Quran, their holy book, to be the verbatim word of God as revealed to the Islamic prophet and messenger Muhammad. The majority of Muslims also follow the teachings and practices of Muhammad (sunnah) as recorded in traditional accounts (hadith).[29] The derivation of ""Muslim"" is from an Arabic word meaning ""submitter"" (to God).[30]
The beliefs of Muslims include: that God (Arabic: الله‎ Allāh) is eternal, transcendent and absolutely one (tawhid); that God is incomparable, self-sustaining and neither begets nor was begotten; that Islam is the complete and universal version of a primordial faith that has been revealed before through many prophets including Abraham, Ishmael, Isaac, Moses, and Jesus;[31] that these previous messages and revelations have been partially changed or corrupted over time (tahrif)[32] and that the Quran is the final unaltered revelation from God (Final Testament).[33]
As of 2015, 1.8 billion or about 24.1% of the world population are Muslims.[34] By the percentage of the total population in a region considering themselves Muslim, 91% in the Middle East-North Africa (MENA),[35] 81% in Central Asia,[36][37] 65% in the Caucasus,[38][39][40][41][42][43][44] 40% in Southeast Asia,[45][46] 31% in South Asia,[47][48] 30% in Sub-Saharan Africa,[49] 25% in Asia–Oceania,[50] around 6% in Europe,[51] and 1% in the Americas.[52][53][54][55]
Most Muslims are of one of two denominations; Sunni (75–90%)[56] and Shia.[18] About 13% of Muslims live in Indonesia, the largest Muslim-majority country;[57] 31% of Muslims live in South Asia,[58] the largest population of Muslims in the world;[59] 20% in the Middle East–North Africa,[60] where it is the dominant religion;[61] and 15% in Sub-Saharan Africa.[62] Muslims are the overwhelming majority in Central Asia,[63] the majority in the Caucasus[64][65] and widespread in Southeast Asia.[66] India is the country with the largest Muslim population outside Muslim-majority countries.[67] Sizeable Muslim communities are also found in the Americas, China, Europe, and North Asia.[68][69][70] Islam is the fastest-growing major religion in the world.[71][72][73]
"
London United Busways,"London United is a bus company operating mostly in west and south-west Greater London. It is a subsidiary of the RATP Group and operates services under contract to Transport for London.
"
,
Green Park,"The Green Park, usually known without the definite article simply as Green Park, is one of the Royal Parks of London. It is located in the City of Westminster, Central London. First enclosed in the 16th century, it was landscaped in 1820 and is notable among central London parks for having no lakes or buildings, and only minimal flower planting in the form of naturalised narcissus.
"
Counties of England,"The counties of England are areas used for different purposes, which include administrative, geographical, cultural and political demarcation. The term 'county' is defined in several manners and can apply to similar or the same areas used by each of these demarcation structures.[1] These different types of county each have a more formal name but are commonly referred to just as 'counties'. The current arrangement is the result of incremental reform. 
The original county structure has its origins in the Middle Ages.[2] These counties are often referred to as historic or traditional counties.[3]
The Local Government Act 1888 created new areas for organising local government that it called administrative counties and county boroughs. These administrative areas adopted the names of, and closely resembled the areas of, the traditional counties. Later legislative changes to the new local government structure led to greater distinction between the traditional and the administrative counties.
The Local Government Act 1972 abolished the 1888 act, its administrative counties and county boroughs.[4] In their place, the 1972 Act created new areas for handling local government that were also called administrative counties.[5] The 1972 administrative counties differed distinctly in area from the 1888 administrative counties, that had now been abolished, and from the traditional counties, that had still not been abolished. Many of the names of the traditional counties were still being used now for the 1972 administrative counties. Later legislation created yet further area differences between the 1972 administrative counties and the traditional counties. In 2019, for the purpose of administration, England outside Greater London and the Isles of Scilly is divided into 82 metropolitan and non-metropolitan counties.
The Lieutenancies Act 1997 created areas to be used for the purpose of the Lieutenancies Act. These newly created areas are called ceremonial counties and are based on, but not always the same as, the areas of the 1972 administrative counties.
For the purpose of sorting and delivering mail, England was divided into 48 postal counties until 1996; these have been abandoned by Royal Mail in favour of postcodes.
The term 'county', relating to any of its meanings, is used as the geographical basis for a number of institutions such as police and fire services,[6] sports clubs and other non-government organisations.
"
Metropolitan Police,"The Metropolitan Police Service (MPS), formerly and still commonly known as the Metropolitan Police and informally as the Met, Scotland Yard, or the Yard, is the territorial police force responsible for law enforcement in the Metropolitan Police District, which currently consists of the 32 London boroughs.[10] The MPD does not include the ""square mile"" of the City of London, which is policed by the much smaller City of London Police.
The Met also has significant national responsibilities, such as co-ordinating and leading on UK-wide national counter-terrorism matters and protecting the Royal Family, certain members of Her Majesty's Government and others as deemed appropriate.[11] As the police force for the capital, the Met has significant unique responsibilities and challenges within its police area, such as protecting 164 foreign embassies and High Commissions,[12] policing Heathrow Airport (the busiest airport in Europe), policing and protecting the Palace of Westminster, and dealing with significantly more protests and events than any other force in the country (3,500 such events in 2016).[12]
As of September 2019, the Met had 41,399 full-time personnel. This included 30,940 police officers, 8,472 police staff, 1,273 police community support officers and 714 designated officers.[13] This number excludes the 1,838 special constables, who work voluntarily part-time (a minimum of 16 hours a month) and who have the same powers and uniform as their regular colleagues. This makes the Metropolitan Police, in terms of officer numbers, the largest police force in the United Kingdom by a significant margin, and one of the biggest in the world.[14] In terms of its police area (primary geographic area of responsibility), leaving its national responsibilities aside, the Met has the eighth-smallest police area of the territorial police forces in the United Kingdom.
The overall operational leader of the force is the Commissioner, whose formal title is Commissioner of Police of the Metropolis. The Commissioner is answerable, responsible and accountable to the Queen, the Home Office and the Mayor of London, through the Mayor's Office for Policing and Crime. The post of Commissioner was first held jointly by Sir Charles Rowan and Sir Richard Mayne. Cressida Dick was appointed Commissioner in April 2017.
A number of informal names and abbreviations are applied to the Metropolitan Police Service, the most common being the Met. In colloquial London (or Cockney) slang, it is sometimes referred to as the Old Bill.[15] The Met is also referred to as Scotland Yard after the location of its original headquarters in a road called Great Scotland Yard in Whitehall.[16] The Met's current headquarters is New Scotland Yard, situated on the Victoria Embankment.
"
"Purley, London","Purley is an area of the London Borough of Croydon in London, England. It was part of the county of Surrey until 1965. It is located south of the town of Croydon, and 11.7 miles (18.8 km) south of Charing Cross. It had a population of about 14,000 in 2011.
"
Metropolitan and non-metropolitan counties of England,"Metropolitan and non-metropolitan counties are one of the four levels of subdivisions of England used for the purposes of local government outside Greater London and the Isles of Scilly. As originally constituted, the metropolitan and non-metropolitan counties each consisted of multiple districts, had a county council and were also the counties for the purposes of Lieutenancies. Later changes in legislation during the 1980s and 1990s have allowed counties without county councils and 'unitary authority' counties of a single district. Counties for the purposes of Lieutenancies are now defined separately, based on the metropolitan and non-metropolitan counties.
In 2009 and 2019, there were further structural changes in some areas, resulting in a total of 82 metropolitan and non-metropolitan counties. These 82 counties collectively consist of 283 districts or district-level subdivisions, i.e. 36 metropolitan boroughs and 247 non-metropolitan districts (192 of these are subdivisions of non-metropolitan counties with county councils; 6 are subdivisions (and also unitary authorities, but without non-metropolitan county status) of Berkshire, which is a non-metropolitan county with no county council; and the remaining 49 are unitary authorities that have non-metropolitan county status).
"
Emirates Stadium,"The Emirates Stadium (known as Ashburton Grove prior to sponsorship, and as Arsenal Stadium for UEFA competitions) is a football stadium in Holloway, London, England, and the home of Arsenal. With a capacity of 60,704 it is the fourth-largest football stadium in England after Wembley Stadium, Old Trafford and Tottenham Hotspur Stadium.
In 1997, Arsenal explored the possibility of relocating to a new stadium, having been denied planning permission by Islington Council to expand its home stadium, Highbury. After considering various options (including purchasing Wembley Stadium), the club bought an industrial and waste disposal estate in Ashburton Grove in 2000. A year later, they received the council's approval to build a stadium on the site; manager Arsène Wenger described this as the ""biggest decision in Arsenal's history"" since the board appointed Herbert Chapman.[6] Relocation began in 2002, but financial difficulties delayed work until February 2004. Emirates was later announced as the main sponsor for the stadium. The entire stadium project was completed in 2006 at a cost of £390 million.[4] The club's former stadium was redeveloped as Highbury Square, an apartment complex.[7]
The stadium has undergone a process of ""Arsenalisation"" since 2009 with the aim of restoring Arsenal's heritage and history. The stadium has hosted international fixtures and music concerts.
"
Tehran,"Tehran (/tɛəˈræn, -ˈrɑːn, ˌteɪə-/; Persian: تهران‎ Ťehrân [tehˈɾɒːn] (listen)) is the capital of Iran and Tehran Province. With a population of around 8.7 million in the city and 15 million in the larger metropolitan area of Greater Tehran, Tehran is the most populous city in Iran and Western Asia,[6]  and has the third-largest metropolitan area in the Middle East (surpassed by Cairo and Istanbul). It is ranked 24th in the world by the population of its metropolitan area.[7]
In the Classical era, part of the territory of present-day Tehran was occupied by Rhages, a prominent Median city.[8] It was subject to destruction through the medieval Arab, Turkic, and Mongol invasions. Its modern-day inheritor remains as an urban area absorbed into the metropolitan area of Greater Tehran.
Tehran was first chosen as the capital of Iran by Agha Mohammad Khan of the Qajar dynasty in 1786, in order to remain within close reach of Iran's territories in the Caucasus, before being separated from Iran as a result of the Russo-Iranian Wars, and to avoid the vying factions of the previously ruling Iranian dynasties. The capital has been moved several times throughout history, and Tehran is the 32nd national capital of Persia. Large-scale demolition and rebuilding began in the 1920s, and Tehran has been a destination for mass migrations from all over Iran since the 20th century.[9]
Tehran is home to many historical collections, including the royal complexes of Golestan, Sa'dabad, and Niavaran, where the two last dynasties of the former Imperial State of Iran were seated. Tehran's most famous landmarks include the Azadi Tower, a memorial built under the reign of Mohammad Reza Shah of the Pahlavi dynasty in 1971 to mark the 2,500th year of the foundation of the Imperial State of Iran, and the Milad Tower, the world's sixth-tallest self-supporting tower which was completed in 2007. The Tabiat Bridge, a newly built landmark, was completed in 2014.[10]
The majority of the population of Tehran are Persian-speaking people,[11][12] and roughly 99% of the population understand and speak Persian, but there are large populations of other ethno-linguistic groups who live in Tehran and speak Persian as a second language.[13]
Tehran has an international airport (Imam Khomeini Airport), a domestic airport (Mehrabad Airport), a central railway station, the rapid transit system of Tehran Metro, a bus rapid transit system, trolleybuses, and a large network of highways.
There have been plans to relocate Iran's capital from Tehran to another area, due mainly to air pollution and the city's exposure to earthquakes. To date, no definitive plans have been approved. A 2016 survey of 230 cities by consultant Mercer ranked Tehran 203rd for quality of life.[14] According to the Global Destinations Cities Index in 2016, Tehran is among the top ten fastest growing destinations.[15]
October 6 is marked as Tehran Day based on a 2016 decision by members of the City Council, celebrating the day when the city was officially chosen as the capital of Iran by the Qajar dynasty back in 1907.[16]
"
Flagship,"A flagship is a vessel used by the commanding officer of a group of naval ships, characteristically a flag officer entitled by custom to fly a distinguishing flag. Used more loosely, it is the lead ship in a fleet of vessels, typically the first, largest, fastest, most heavily armed, or best known.
Over the years, the term ""flagship"" has become a metaphor used in industries such as broadcasting, automobiles, education, technology, airlines, and retail to refer to their highest profile or most expensive products and locations.
"
"Angel, London","Angel is a locality on the northern fringes of Central London within the London Borough of Islington. It is located 2 miles (3.2 km) north-northeast of Charing Cross on the Inner Ring Road at a busy transport intersection. The area is identified in the London Plan as one of 35 major centres in London. It is a significant commercial and retail centre, and a business improvement district. Angel straddles the ancient boundary of the parishes of Clerkenwell and Islington that later became the metropolitan boroughs of Finsbury and Islington. It is named from the former Angel Inn which stood on the corner of Islington High Street and Pentonville Road. Since 1965 the whole area has formed part of the London Borough of Islington in Greater London.
"
Metropolitan area,"A metropolitan area is a region consisting of a densely populated urban core and its less-populated surrounding territories, sharing industry, infrastructure, and housing.[1] A metro area usually comprises multiple jurisdictions and municipalities: neighborhoods, townships, boroughs, cities, towns, exurbs, suburbs, counties, districts, states, and even nations like the eurodistricts. As social, economic and political institutions have changed, metropolitan areas have become key economic and political regions.[2]
Metropolitan areas include satellite cities, towns and intervening rural areas that are socioeconomically tied to the urban core, typically measured by commuting patterns.[3] Most metropolitan areas are anchored by one core city such as Paris metropolitan area (Paris) and New York metropolitan area (New York City). In some cases metropolitan areas have multiple centers of close to equal importance, such as Dallas–Fort Worth metropolitan area (Dallas and Fort Worth), Islamabad–Rawalpindi metropolitan area (Islamabad and Rawalpindi), the Rhine-Ruhr in Germany and the Randstad in the Netherlands.
In the United States, the concept of the metropolitan statistical area has gained prominence. Metropolitan areas may themselves be part of larger megalopolises. For urban centres outside metropolitan areas, that generate a similar attraction at smaller scale for their region, the concept of the regiopolis and respectively regiopolitan area or regio was introduced by German professors in 2006.[4] In the United States, the term micropolitan statistical area is used.
"
"Cornhill, London","Cornhill (formerly also Cornhil) is a ward and street in the City of London, the historic nucleus and financial centre of modern London. The street runs between Bank junction and Leadenhall Street. 
The hill from which it takes its name is one of the three ancient hills of London; the others are Tower Hill, site of the Tower of London, and Ludgate Hill, crowned by St Paul's Cathedral. The highest point of Cornhill is at 17.7 metres (58 ft) above sea level.[1]
"
